x_range,y_range,split_label
-100.0,-193.0,0
-98.99497487437186,-190.98994974874373,2
-97.98994974874373,-188.97989949748745,0
-96.98492462311557,-186.96984924623115,0
-95.97989949748744,-184.95979899497488,0
-94.9748743718593,-182.9497487437186,0
-93.96984924623115,-180.9396984924623,0
-92.96482412060301,-178.92964824120602,1
-91.95979899497488,-176.91959798994975,0
-90.95477386934674,-174.90954773869348,2
-89.9497487437186,-172.8994974874372,0
-88.94472361809045,-170.8894472361809,1
-87.93969849246231,-168.87939698492463,0
-86.93467336683418,-166.86934673366835,0
-85.92964824120602,-164.85929648241205,2
-84.92462311557789,-162.84924623115577,0
-83.91959798994975,-160.8391959798995,0
-82.91457286432161,-158.82914572864323,0
-81.90954773869348,-156.81909547738695,0
-80.90452261306532,-154.80904522613065,0
-79.89949748743719,-152.79899497487438,0
-78.89447236180905,-150.7889447236181,0
-77.8894472361809,-148.7788944723618,2
-76.88442211055276,-146.76884422110552,0
-75.87939698492463,-144.75879396984925,0
-74.87437185929649,-142.74874371859298,0
-73.86934673366835,-140.7386934673367,0
-72.8643216080402,-138.7286432160804,2
-71.85929648241206,-136.71859296482413,0
-70.85427135678393,-134.70854271356785,0
-69.84924623115577,-132.69849246231155,0
-68.84422110552764,-130.68844221105527,0
-67.8391959798995,-128.678391959799,0
-66.83417085427136,-126.66834170854273,1
-65.82914572864323,-124.65829145728645,0
-64.82412060301507,-122.64824120603015,1
-63.81909547738694,-120.63819095477388,0
-62.8140703517588,-118.6281407035176,0
-61.80904522613066,-116.61809045226131,0
-60.80402010050251,-114.60804020100502,0
-59.798994974874375,-112.59798994974875,0
-58.79396984924624,-110.58793969849248,0
-57.788944723618094,-108.57788944723619,0
-56.78391959798995,-106.5678391959799,0
-55.77889447236181,-104.55778894472363,2
-54.773869346733676,-102.54773869346735,1
-53.76884422110553,-100.53768844221106,0
-52.76381909547739,-98.52763819095478,0
-51.75879396984925,-96.5175879396985,0
-50.75376884422111,-94.50753768844223,0
-49.74874371859297,-92.49748743718594,0
-48.743718592964825,-90.48743718592965,0
-47.73869346733669,-88.47738693467338,0
-46.73366834170855,-86.4673366834171,0
-45.72864321608041,-84.45728643216081,0
-44.72361809045226,-82.44723618090453,0
-43.718592964824126,-80.43718592964825,0
-42.71356783919599,-78.42713567839198,1
-41.708542713567844,-76.41708542713569,0
-40.7035175879397,-74.4070351758794,0
-39.69849246231156,-72.39698492462313,0
-38.693467336683426,-70.38693467336685,0
-37.68844221105528,-68.37688442211056,2
-36.68341708542714,-66.36683417085428,0
-35.678391959799,-64.356783919598,0
-34.673366834170864,-62.34673366834173,0
-33.66834170854273,-60.33668341708545,0
-32.663316582914575,-58.32663316582915,0
-31.65829145728644,-56.31658291457288,0
-30.6532663316583,-54.3065326633166,0
-29.64824120603015,-52.2964824120603,0
-28.643216080402013,-50.286432160804026,0
-27.638190954773876,-48.27638190954775,0
-26.63316582914574,-46.26633165829148,1
-25.6281407035176,-44.2562814070352,0
-24.62311557788945,-42.2462311557789,0
-23.618090452261313,-40.23618090452263,0
-22.613065326633176,-38.22613065326635,2
-21.608040201005025,-36.21608040201005,0
-20.603015075376888,-34.206030150753776,0
-19.59798994974875,-32.1959798994975,0
-18.592964824120614,-30.185929648241228,0
-17.587939698492477,-28.175879396984953,0
-16.582914572864325,-26.16582914572865,0
-15.577889447236188,-24.155778894472377,0
-14.572864321608051,-22.145728643216103,0
-13.5678391959799,-20.1356783919598,0
-12.562814070351763,-18.125628140703526,0
