x_range,y_range,split_label
-100.0,-1.9999999999999998,0
-98.99497487437186,-1.8968953787628295,2
-97.98994974874373,-1.7944463452845474,0
-96.98492462311557,-1.6929034543405637,0
-95.97989949748744,-1.59251525913925,0
-94.9748743718593,-1.493527320515922,0
-93.96984924623115,-1.3961812280553345,0
-92.96482412060301,-1.300713637044721,1
-91.95979899497488,-1.207355325096397,0
-90.95477386934674,-1.116330272200512,2
-89.9497487437186,-1.0278547678750927,0
-88.94472361809045,-0.942136548972592,1
-87.93969849246231,-0.8593739715798513,0
-86.93467336683418,-0.7797552203125528,0
-85.92964824120602,-0.703457558156141,2
-84.92462311557789,-0.6306466198435688,0
-83.91959798994975,-0.5614757515866569,0
-82.91457286432161,-0.4960853997931193,0
-81.90954773869348,-0.43460255120598024,0
-80.90452261306532,-0.3771402266971646,0
-79.89949748743719,-0.32379703073315713,0
-78.89447236180905,-0.274656758308664,0
-77.8894472361809,-0.22978806091519177,2
-76.88442211055276,-0.1892441728760612,0
-75.87939698492463,-0.1530626991387789,0
-74.87437185929649,-0.1212654653706855,0
-73.86934673366835,-0.0938584309554451,0
-72.8643216080402,-0.07083166523719064,2
-71.85929648241206,-0.052159387107035715,0
-70.85427135678393,-0.03780006777413225,0
-69.84924623115577,-0.027696596311616473,0
-68.84422110552764,-0.02177650731751435,0
-67.8391959798995,-0.019952269783090504,0
-66.83417085427136,-0.022121636017127688,1
-65.82914572864323,-0.02816804923521199,0
-64.82412060301507,-0.03796110818927112,1
-63.81909547738694,-0.0513570869851977,0
-62.8140703517588,-0.06819950801642427,0
-61.80904522613066,-0.08831976572956435,0
-60.80402010050251,-0.11153779873560432,0
-59.798994974874375,-0.13766280758742144,0
-58.79396984924624,-0.16649401536234654,0
-57.788944723618094,-0.19782146801787437,0
-56.78391959798995,-0.23142687133006312,0
-55.77889447236181,-0.2670844610783466,2
-54.773869346733676,-0.30456190300793995,1
-53.76884422110553,-0.3436212189823341,0
-52.76381909547739,-0.3840197356339536,0
-51.75879396984925,-0.4255110517313854,0
-50.75376884422111,-0.46784602040696754,0
-49.74874371859297,-0.5107737423292855,0
-48.743718592964825,-0.5540425658615056,0
-47.73869346733669,-0.597401090218618,0
-46.73366834170855,-0.6405991676247144,0
-45.72864321608041,-0.6833889004753941,0
-44.72361809045226,-0.7255256295303378,0
-43.718592964824126,-0.7667689091968044,0
-42.71356783919599,-0.8068834660162982,1
-41.708542713567844,-0.8456401365335857,0
-40.7035175879397,-0.8828167808094509,0
-39.69849246231156,-0.9181991679356558,0
-38.693467336683426,-0.9515818300221839,0
-37.68844221105528,-0.9827688812525173,2
-36.68341708542714,-1.0115747987419645,0
-35.678391959799,-1.0378251620863002,0
-34.673366834170864,-1.0613573486526584,0
-33.66834170854273,-1.0820211818410512,0
-32.663316582914575,-1.099679529732349,0
-31.65829145728644,-1.1142088517363358,0
-30.6532663316583,-1.1254996910607402,0
-29.64824120603015,-1.1334571110381184,0
-28.643216080402013,-1.1380010735712578,0
-27.638190954773876,-1.1390667581885114,0
-26.63316582914574,-1.1366048204372121,1
-25.6281407035176,-1.1305815885851347,0
-24.62311557788945,-1.1209791978458983,0
-23.618090452261313,-1.107795661593246,0
-22.613065326633176,-1.0910448792803185,2
-21.608040201005025,-1.0707565810323572,0
