x_range,y_range,split_label,label
-62.79255851170234,-0.4061673271693268,0,1
8.581716343268653,-1.2095334466549486,0,1
-79.27585517103421,-0.7364517546577308,0,1
29.065813162632537,-1.6615937673364412,0,1
28.78575715143029,-0.3736751536064649,0,1
-99.7999599919984,-2.1404671211037694,0,0
-99.75995199039808,0.6884861314065278,0,0
-99.71994398879777,2.3311463657826,0,0
-99.67993598719744,-1.6059311895304842,0,0
-99.63992798559713,-0.7266219451047596,0,0
-99.5999199839968,0.3834481030116368,0,0
-99.55991198239649,-1.2838654430931102,0,0
-99.51990398079616,0.5408921998967617,0,0
-99.35987197439488,-0.7150601075134274,0,0
-99.31986397279456,1.1130876734543782,0,0
-99.27985597119424,-1.7109243407072732,0,0
-99.1998399679936,-1.2112097025034625,0,0
-99.15983196639328,-2.116464859562945,0,0
-98.95979195839168,1.220225094609023,0,0
-98.91978395679136,0.6512244174288668,0,0
-98.83976795359072,0.3796950687958667,0,0
-98.75975195039008,1.761475736050608,0,0
-98.71974394878976,0.16419581939632,0,0
-98.67973594718944,6.110908820513233,0,0
-98.5997199439888,-1.107784168311349,0,0
-98.55971194238847,-1.2686272066019295,0,0
-98.51970394078816,0.9525091641030043,0,0
-98.43968793758752,2.506754681750848,0,0
-98.3996799359872,-1.6983192936607232,0,0
-98.35967193438688,-0.3800888371733892,0,0
-98.31966393278655,-0.949186381792112,0,0
-98.27965593118624,-0.8910785852244723,0,0
-98.23964792958591,3.3197771880879685,0,0
-98.11962392478496,-1.087433040182878,0,0
-98.07961592318463,3.0929331435705745,0,0
-97.95959191838368,-0.0753362693686729,0,0
-97.87957591518304,-1.2437653816829637,0,0
-97.83956791358273,1.1129806868048813,0,0
-97.75955191038209,-0.6166832190267613,0,0
-97.71954390878176,1.1204282375442558,0,0
-97.63952790558112,0.2623768597201432,0,0
-97.5995199039808,0.6854701738914899,0,0
-97.55951190238048,-1.1983194058491071,0,0
-97.51950390078017,0.0687489059253392,0,0
-97.47949589917984,-0.0643023549609586,0,0
-97.31946389277856,-1.2286409202683672,0,0
-97.23944788957792,0.5812224012153604,0,0
-97.1994398879776,-0.5444521052080149,0,0
-97.15943188637728,0.071345140654127,0,0
-97.11942388477696,-0.1912026871881941,0,0
-97.03940788157632,-0.3346478004097604,0,0
-96.87937587517504,-0.7795659942525961,0,0
-96.83936787357472,0.0921569459343838,0,0
-96.75935187037408,0.0210675260430119,0,0
-96.71934386877376,1.6204762172845242,0,0
-96.63932786557312,-0.7326561484811605,0,0
-96.55931186237248,0.0669703110970889,0,0
-96.47929585917184,1.44919053167439,0,0
-96.31926385277056,-0.8792553269824277,0,0
-96.1992398479696,-0.3069395162294125,0,0
-96.07921584316864,-0.9122447075715644,0,0
-96.03920784156831,-0.6704993805759378,0,0
-95.999199839968,0.2391249030318831,0,0
-95.95919183836769,-1.2003943759422302,0,0
-95.87917583516705,0.7787007419048817,0,0
-95.7991598319664,2.3620143411302137,0,0
-95.63912782556513,-0.101883908101798,0,0
-95.55911182236449,-0.1167991631521775,0,0
-95.47909581916385,-1.330867411914861,0,0
-95.43908781756352,3.7543769798057767,0,0
-95.35907181436288,0.18985207407778,0,0
-95.27905581116224,-0.9889633089053556,0,0
-95.23904780956192,-1.348696644600793,0,0
-95.1990398079616,-1.5592503036745378,0,0
-95.11902380476096,0.2319689320578479,0,0
-94.99899979996,0.1407937357105295,0,0
-94.91898379675936,-0.4339797591572115,0,0
-94.7989597919584,0.0860330416552987,0,0
-94.75895179035808,1.1993089970040725,0,0
-94.67893578715744,0.2233482830778335,0,0
-94.63892778555712,-1.4773183792308315,0,0
-94.55891178235647,1.038993913340042,0,0
-94.47889577915583,0.0485389225753891,0,0
-94.43888777755552,-1.0597101329300789,0,0
-94.35887177435488,-0.1076405772148654,0,0
-93.998799759952,-0.8774311121170506,0,0
-93.95879175835168,-1.104912001608453,0,0
-93.71874374874974,0.941196569797897,0,0
-93.67873574714945,0.5136597086509187,0,0
-93.55871174234846,0.3656053837400654,0,0
-93.51870374074817,2.541079325776133,0,0
-93.39867973594718,0.5717097556630428,0,0
-93.35867173434688,0.6364269668123759,0,0
-93.2386477295459,-0.6498642496073364,0,0
-93.1986397279456,-0.7729801175254055,0,0
-93.11862372474496,0.5159131615449062,0,0
-93.07861572314462,-0.4153522995335763,0,0
-93.03860772154432,-0.4081763651791315,0,0
-92.91858371674334,1.144846835065052,0,0
-92.87857571514304,-0.4638314934262425,0,0
-92.71854370874176,0.1928375225356069,0,0
-92.67853570714144,0.2842393287722633,0,0
-92.63852770554112,1.2054316098289777,0,0
-92.59851970394078,0.4064896398397213,0,0
-92.47849569913984,2.976392365932104,0,0
-92.4384876975395,-0.8607206000532474,0,0
-92.35847169433887,-0.4663141143255283,0,0
-92.11842368473695,0.9861545229078896,0,0
-92.07841568313664,-0.6572966543482046,0,0
-92.03840768153631,-1.1839848254206202,0,0
-91.95839167833569,0.2825676557245584,0,0
-91.91838367673536,0.7847641127443115,0,0
-91.8383676735347,0.3361915859099724,0,0
-91.7983596719344,-0.0671598875832651,0,0
-91.67833566713342,-0.8526594395276872,0,0
-91.59831966393278,-0.3954361286822707,0,0
-91.55831166233249,-0.2694057421549647,0,0
-91.47829565913185,-0.7848575619724892,0,0
-91.4382876575315,-0.8487690482120895,0,0
-91.35827165433086,1.6073333117025967,0,0
-91.27825565113022,-0.7032253262300061,0,0
-91.19823964792958,-0.3955930848559391,0,0
-91.11822364472894,0.42261441978737,0,0
-90.998199639928,0.070468551511645,0,0
-90.95819163832766,0.0129196634097135,0,0
-90.91818363672736,-1.0935601469279448,0,0
-90.87817563512702,0.0954458303427761,0,0
-90.79815963192638,-0.2911864220691377,0,0
-90.6381276255251,0.1932050401680065,0,0
-90.5981196239248,-0.4027608765680888,0,0
-90.47809561912382,2.5072788474186587,0,0
-90.39807961592318,1.129880076343646,0,0
-90.0380076015203,-0.4010934963422117,0,0
-89.99799959991998,-0.6602768576056801,0,0
-89.79795959191839,-0.0696792748586427,0,0
-89.51790358071614,-0.0112272632875755,0,0
-89.27785557111423,0.9721686104186432,0,0
-89.15783156631326,1.3765153708320683,0,0
-89.11782356471295,-0.2594529436231142,0,0
-88.99779955991198,0.8231353587118719,0,0
-88.91778355671134,2.6114609111430083,0,0
-88.71774354870973,0.1696423034804444,0,0
-88.59771954390878,1.0832326893285655,0,0
-88.51770354070814,-0.6194338254642691,0,0
-88.2376475295059,0.1579446643829771,0,0
-88.07761552310463,-0.1232771674215279,0,0
-87.91758351670335,2.2624791299440816,0,0
-87.59751950390078,-0.3260397713999717,0,0
-87.27745549109822,-0.4309843442787697,0,0
-87.19743948789758,-0.3156846150944478,0,0
-86.95739147829566,0.8121782076542492,0,0
-86.8373674734947,0.8552204311591625,0,0
-86.71734346869374,0.1128822571000824,0,0
-86.67733546709341,1.51646684200301,0,0
-86.6373274654931,1.2059443195767137,0,0
-86.59731946389277,0.859122117116704,0,0
-86.51730346069213,1.7052310525922905,0,0
-86.47729545909182,2.0097147727946214,0,0
-86.4372874574915,1.7442018710932712,0,0
-86.27725545109021,0.1477801585877294,0,0
-86.15723144628926,2.3445551587789946,0,0
-85.91718343668734,-0.659161107664145,0,0
-85.67713542708542,-0.1223521239136044,0,0
-85.59711942388478,-0.1146745859465592,0,0
-85.35707141428286,1.869306182237637,0,0
-85.11702340468094,1.3720808303699283,0,0
-84.91698339667934,-0.4791707810919346,0,0
-84.79695939187837,1.090446216499112,0,0
-84.35687137427486,-0.030391393794395,0,0
-84.15683136627325,0.8288612316862811,0,0
-84.07681536307261,1.1220632085496778,0,0
-84.0368073614723,1.097437055884718,0,0
-83.99679935987197,1.240579898996855,0,0
-83.83676735347069,3.4188936193202686,0,0
-83.35667133426685,1.586789057568716,0,0
-83.2366473294659,1.5362137813299128,0,0
-83.19663932786557,0.3139622290849615,0,0
-83.11662332466493,-0.4030426971005384,0,0
-83.07661532306462,-0.3933960556589351,0,0
-83.03660732146429,0.906402942500383,0,0
-82.95659131826365,0.8320965962654454,0,0
-82.8365673134627,1.021353061648063,0,0
-82.71654330866173,1.356255778881879,0,0
-82.55651130226045,1.8682734896757336,0,0
-82.51650330066013,1.0580899812995392,0,0
-82.4764952990598,2.0406002461722017,0,0
-82.4364872974595,2.7142802416517298,0,0
-82.19643928785757,0.2303839553658755,0,0
-82.15643128625726,1.4279718447567742,0,0
-81.75635127025404,0.9421145273605886,0,0
-81.59631926385276,-0.2508571243383987,0,0
-81.43628725745148,0.6845280851322466,0,0
-81.35627125425086,1.189205870604777,0,0
-81.19623924784958,2.621537029517495,0,0
-81.15623124624925,0.5945818445654252,0,0
-81.07621524304861,3.156786971701976,0,0
-81.0362072414483,0.891087386892923,0,0
-80.95619123824764,0.6637716260722366,0,0
-80.87617523504701,1.9788548672812236,0,0
-80.75615123024605,2.220893127842426,0,0
-80.6761352270454,0.056428080567328,0,0
-80.59611922384477,2.5262513898687784,0,0
-80.55611122224445,0.8939726647248405,0,0
-80.51610322064413,0.2237610568516812,0,0
-80.43608721744349,0.3929842808051951,0,0
-79.99599919983997,0.3967340241581463,0,0
-79.91598319663933,-0.0674496847669526,0,0
-79.875975195039,2.0135762586769164,0,0
-79.75595119023805,0.5747639284713659,0,0
-79.59591918383677,2.809948990638788,0,0
-79.4758951790358,0.0393598391664333,0,0
-79.31586317263452,1.449427815897892,0,0
-79.0758151630326,0.5606476483560114,0,0
-79.03580716143229,0.2465906164332889,0,0
-78.99579915983196,0.2151436127495944,0,0
-78.95579115823165,0.3363976611764885,0,0
-78.87577515503101,-0.0106313408333416,0,0
-78.83576715343068,2.2859224384875696,0,0
-78.79575915183037,0.0947260800298874,0,0
-78.75575115023004,0.1511586352775435,0,0
-78.63572714542909,3.7886450715240576,0,0
-78.39567913582717,0.3787220941481637,0,0
-78.35567113422684,0.7209271819030176,0,0
-78.15563112622524,0.0625142071611626,0,0
