x_range,y_range,split_label
-100.0,-180.92061693470615,0
-98.99497487437186,-194.40992399119105,2
-97.98994974874373,-201.34218598776485,0
-96.98492462311557,-180.8184872452403,0
-95.97989949748744,-192.21517655443864,0
-94.9748743718593,-178.5796536141876,0
-93.96984924623115,-173.70140596001352,0
-92.96482412060301,-171.59542559079028,1
-91.95979899497488,-171.23802583209593,0
-90.95477386934674,-181.91820912249767,2
-89.9497487437186,-166.28923298616252,0
-88.94472361809045,-159.1409990961609,1
-87.93969849246231,-152.68738300200692,0
-86.93467336683418,-142.32197089652792,0
-85.92964824120602,-165.33650862757753,2
-84.92462311557789,-154.79594988660338,0
-83.91959798994975,-155.29162353224467,0
-82.91457286432161,-164.9849537563416,0
-81.90954773869348,-163.53819926532947,0
-80.90452261306532,-151.72295834706534,0
-79.89949748743719,-154.2153217852888,0
-78.89447236180905,-164.56923910715366,0
-77.8894472361809,-150.2101976921726,2
-76.88442211055276,-146.9910100754606,0
-75.87939698492463,-138.55134990008023,0
-74.87437185929649,-150.5558056424484,0
-73.86934673366835,-149.95292699815013,0
-72.8643216080402,-161.51910034942946,2
-71.85929648241206,-126.74626622076667,0
-70.85427135678393,-149.24887061869512,0
-69.84924623115577,-132.34150814622345,0
-68.84422110552764,-133.52434101540774,0
-67.8391959798995,-120.40879185479206,0
-66.83417085427136,-128.8368386491045,1
-65.82914572864323,-127.60934307402272,0
-64.82412060301507,-124.60295058507108,1
-63.81909547738694,-132.91202501678538,0
-62.8140703517588,-101.90280692242754,0
-61.80904522613066,-128.9882108620973,0
-60.80402010050251,-105.87177661303119,0
-59.798994974874375,-87.98159484695809,0
-58.79396984924624,-90.36505693963421,0
-57.788944723618094,-107.886902365505,0
-56.78391959798995,-100.66125203927112,0
-55.77889447236181,-108.68398706600308,2
-54.773869346733676,-103.87337733533018,1
-53.76884422110553,-91.1999984696753,0
-52.76381909547739,-79.049153209595,0
-51.75879396984925,-90.69417855996534,0
-50.75376884422111,-100.57598173027449,0
-49.74874371859297,-105.99358139736626,0
-48.743718592964825,-84.37739033572433,0
-47.73869346733669,-91.72664690737344,0
-46.73366834170855,-102.89388886084075,0
-45.72864321608041,-75.18192875903452,0
-44.72361809045226,-87.67362888753156,0
-43.718592964824126,-101.81421064181382,0
-42.71356783919599,-64.69324667838157,1
-41.708542713567844,-86.2222925346701,0
-40.7035175879397,-65.94769735888005,0
-39.69849246231156,-66.5266899202829,0
-38.693467336683426,-82.64350752695816,0
